Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
147.00	0.10000	0.0028636	349.21	31.605	35.097	172.56	44.733	53.063	282.13	0.86296	17.631	0.023811	vapor
147.10	0.10000	0.0028629	349.29	31.610	35.103	172.57	44.741	53.072	282.16	0.86236	17.635	0.023823	vapor
147.20	0.10000	0.0028622	349.38	31.614	35.108	172.58	44.750	53.080	282.19	0.86175	17.639	0.023834	vapor
147.30	0.10000	0.0028616	349.46	31.619	35.113	172.60	44.758	53.088	282.22	0.86115	17.643	0.023846	vapor
147.40	0.10000	0.0028609	349.54	31.623	35.119	172.61	44.766	53.097	282.25	0.86055	17.647	0.023858	vapor
147.50	0.10000	0.0028602	349.63	31.628	35.124	172.62	44.775	53.105	282.28	0.85995	17.651	0.023870	vapor
147.60	0.10000	0.0028595	349.71	31.632	35.129	172.63	44.783	53.113	282.31	0.85935	17.654	0.023882	vapor
147.70	0.10000	0.0028588	349.79	31.637	35.135	172.65	44.791	53.122	282.34	0.85875	17.658	0.023894	vapor
147.80	0.10000	0.0028582	349.88	31.641	35.140	172.66	44.799	53.130	282.37	0.85815	17.662	0.023905	vapor
147.90	0.10000	0.0028575	349.96	31.646	35.145	172.67	44.808	53.138	282.40	0.85755	17.666	0.023917	vapor
148.00	0.10000	0.0028568	350.04	31.650	35.150	172.68	44.816	53.146	282.43	0.85695	17.670	0.023929	vapor
148.10	0.10000	0.0028561	350.13	31.655	35.156	172.70	44.824	53.155	282.45	0.85635	17.674	0.023941	vapor
148.20	0.10000	0.0028554	350.21	31.659	35.161	172.71	44.833	53.163	282.48	0.85575	17.678	0.023953	vapor
148.30	0.10000	0.0028548	350.29	31.663	35.166	172.72	44.841	53.171	282.51	0.85516	17.682	0.023964	vapor
148.40	0.10000	0.0028541	350.38	31.668	35.172	172.73	44.849	53.180	282.54	0.85456	17.686	0.023976	vapor
148.50	0.10000	0.0028534	350.46	31.672	35.177	172.75	44.858	53.188	282.57	0.85397	17.690	0.023988	vapor
148.60	0.10000	0.0028527	350.54	31.677	35.182	172.76	44.866	53.196	282.60	0.85337	17.694	0.024000	vapor
148.70	0.10000	0.0028521	350.62	31.681	35.188	172.77	44.874	53.204	282.63	0.85278	17.697	0.024012	vapor
148.80	0.10000	0.0028514	350.71	31.686	35.193	172.78	44.882	53.213	282.66	0.85218	17.701	0.024024	vapor
148.90	0.10000	0.0028507	350.79	31.690	35.198	172.80	44.891	53.221	282.69	0.85159	17.705	0.024036	vapor
149.00	0.10000	0.0028500	350.87	31.695	35.204	172.81	44.899	53.229	282.72	0.85100	17.709	0.024047	vapor
149.10	0.10000	0.0028493	350.96	31.699	35.209	172.82	44.907	53.238	282.75	0.85041	17.713	0.024059	vapor
149.20	0.10000	0.0028487	351.04	31.704	35.214	172.83	44.916	53.246	282.78	0.84982	17.717	0.024071	vapor
149.30	0.10000	0.0028480	351.12	31.708	35.220	172.85	44.924	53.254	282.81	0.84923	17.721	0.024083	vapor
149.40	0.10000	0.0028473	351.21	31.713	35.225	172.86	44.932	53.262	282.84	0.84864	17.725	0.024095	vapor
149.50	0.10000	0.0028466	351.29	31.717	35.230	172.87	44.941	53.271	282.87	0.84805	17.729	0.024107	vapor
149.60	0.10000	0.0028460	351.37	31.722	35.236	172.89	44.949	53.279	282.90	0.84746	17.733	0.024119	vapor
149.70	0.10000	0.0028453	351.46	31.726	35.241	172.90	44.957	53.287	282.93	0.84687	17.737	0.024131	vapor
149.80	0.10000	0.0028446	351.54	31.731	35.246	172.91	44.965	53.296	282.96	0.84628	17.741	0.024143	vapor
149.90	0.10000	0.0028439	351.62	31.735	35.252	172.92	44.974	53.304	282.98	0.84569	17.744	0.024155	vapor
150.00	0.10000	0.0028433	351.71	31.740	35.257	172.94	44.982	53.312	283.01	0.84511	17.748	0.024166	vapor
